time,open,high,low,close,volume,complete,sma_short,sma_long,signal
2020-10-01,105.534,105.667,104.944,105.32,91333,True,105.43344444444445,105.6011923076923,-1
2020-10-04,105.325,105.796,105.297,105.742,63407,True,105.52322222222222,105.61557692307693,-1
2020-10-05,105.734,105.786,105.471,105.63,70682,True,105.54933333333332,105.6048846153846,-1
2020-10-06,105.616,106.108,105.6,105.966,65763,True,105.61133333333333,105.6051923076923,1
2020-10-07,105.974,106.108,105.924,106.032,52192,True,105.66111111111111,105.59942307692307,1
2020-10-08,106.022,106.042,105.581,105.622,62264,True,105.67277777777777,105.57738461538462,1
2020-10-11,105.735,105.814,105.242,105.343,57928,True,105.63688888888889,105.54284615384616,1
2020-10-12,105.347,105.628,105.282,105.482,63557,True,105.62955555555556,105.51246153846154,1
2020-10-13,105.465,105.516,105.037,105.167,58959,True,105.58933333333333,105.4791923076923,1
2020-10-14,105.144,105.494,105.065,105.446,64227,True,105.60333333333332,105.45096153846156,1
2020-10-15,105.451,105.455,105.191,105.406,60291,True,105.566,105.42296153846155,1
2020-10-18,105.383,105.502,105.302,105.441,53223,True,105.545,105.395,1
2020-10-19,105.432,105.748,105.351,105.502,57498,True,105.49344444444445,105.38615384615385,1
2020-10-20,105.495,105.528,104.342,104.591,70716,True,105.33333333333333,105.35323076923076,-1
2020-10-21,104.587,104.924,104.476,104.845,55517,True,105.247,105.34907692307692,-1
2020-10-22,104.85,104.938,104.548,104.709,52145,True,105.17655555555557,105.34773076923076,-1
2020-10-25,104.715,105.056,104.656,104.834,56784,True,105.10455555555555,105.3578076923077,-1
2020-10-26,104.841,104.89,104.389,104.416,48351,True,105.02111111111111,105.34903846153846,-1
2020-10-27,104.408,104.558,104.114,104.314,68187,True,104.89533333333333,105.3251923076923,-1
2020-10-28,104.302,104.728,104.025,104.602,72141,True,104.806,105.29469230769232,-1
2020-10-29,104.607,104.744,104.125,104.62,71631,True,104.71477777777778,105.26438461538461,-1
2020-11-01,104.538,104.95,104.534,104.695,52056,True,104.62511111111111,105.2301923076923,-1
2020-11-02,104.711,104.802,104.433,104.531,76959,True,104.61844444444445,105.19226923076924,-1
2020-11-03,104.522,105.346,104.15,104.512,166793,True,104.58144444444446,105.14788461538461,-1
2020-11-04,104.516,104.549,103.442,103.504,110775,True,104.44755555555555,105.06926923076922,-1
2020-11-05,103.498,103.76,103.177,103.37,110974,True,104.2848888888889,104.98623076923076,-1
2020-11-08,103.331,105.648,103.19,105.372,137853,True,104.39111111111112,104.98823076923077,-1
2020-11-09,105.378,105.488,104.822,105.302,106284,True,104.5008888888889,104.97130769230769,-1
2020-11-10,105.307,105.677,105.006,105.432,66405,True,104.59311111111111,104.9636923076923,-1
2020-11-11,105.437,105.478,105.07,105.134,68023,True,104.65022222222223,104.9316923076923,-1
2020-11-12,105.127,105.158,104.565,104.64,64613,True,104.64411111111112,104.87815384615386,-1
2020-11-15,104.73,105.138,104.364,104.583,75617,True,104.6498888888889,104.8381923076923,-1
2020-11-16,104.587,104.611,104.071,104.197,63725,True,104.61488888888888,104.79411538461538,-1
2020-11-17,104.192,104.208,103.653,103.822,67048,True,104.65022222222223,104.73026923076924,-1
2020-11-18,103.817,104.217,103.719,103.749,68982,True,104.69233333333334,104.67573076923077,1
2020-11-19,103.803,103.912,103.703,103.858,51677,True,104.52411111111111,104.61465384615384,-1
2020-11-22,103.798,104.638,103.683,104.516,66662,True,104.43677777777778,104.58042307692307,-1
2020-11-23,104.526,104.762,104.147,104.447,71937,True,104.32733333333334,104.54219230769232,-1
2020-11-24,104.444,104.6,104.256,104.458,64763,True,104.25222222222222,104.50203846153846,-1
2020-11-25,104.463,104.478,104.216,104.275,47585,True,104.21166666666666,104.48988461538463,-1
2020-11-26,104.266,104.282,103.906,104.108,46039,True,104.1588888888889,104.46153846153847,-1
2020-11-29,104.083,104.41,103.832,104.296,72366,True,104.16988888888889,104.44565384615385,-1
2020-11-30,104.3,104.578,104.182,104.339,68209,True,104.22733333333333,104.42661538461537,-1
2020-12-01,104.35,104.754,104.226,104.413,70091,True,104.30111111111111,104.4265,-1
2020-12-02,104.416,104.536,103.672,103.842,71192,True,104.29933333333334,104.40834615384614,-1
2020-12-03,103.839,104.244,103.739,104.188,73753,True,104.26288888888888,104.39242307692308,-1
2020-12-06,104.096,104.313,103.922,104.056,66606,True,104.21944444444443,104.37073076923078,-1
2020-12-07,104.058,104.208,103.956,104.171,64247,True,104.18755555555555,104.35057692307691,-1
2020-12-08,104.176,104.407,104.052,104.225,56237,True,104.182,104.33880769230768,-1
2020-12-09,104.236,104.58,104.174,104.242,70313,True,104.19688888888888,104.32842307692309,-1
2020-12-10,104.249,104.284,103.824,104.056,61468,True,104.17022222222222,104.34965384615384,-1
2020-12-13,103.994,104.106,103.512,104.068,62995,True,104.14011111111111,104.3765,-1
2020-12-14,104.072,104.152,103.606,103.674,54068,True,104.05799999999999,104.31119230769232,-1
2020-12-15,103.67,103.92,103.262,103.46,67823,True,104.01555555555555,104.24034615384615,-1
2020-12-16,103.467,103.562,102.874,103.095,65795,True,103.89411111111112,104.15046153846154,-1
2020-12-17,103.1,103.596,103.09,103.308,60443,True,103.81099999999999,104.08023076923078,-1
2020-12-20,103.524,103.892,103.252,103.343,87746,True,103.719,104.03034615384614,-1
2020-12-21,103.348,103.734,103.281,103.649,64172,True,103.655,103.9944230769231,-1
2020-12-22,103.643,103.654,103.356,103.584,63962,True,103.5818888888889,103.97084615384617,-1
2020-12-23,103.593,103.768,103.501,103.675,40532,True,103.53955555555555,103.96519230769232,-1
2020-12-24,103.687,103.691,103.684,103.69,8,True,103.49755555555556,103.96292307692308,-1
2020-12-27,103.53,103.9,103.405,103.81,51057,True,103.51266666666668,103.96107692307693,-1
2020-12-28,103.817,103.844,103.464,103.603,51514,True,103.52855555555556,103.92596153846154,-1
2020-12-29,103.598,103.638,102.962,103.164,60095,True,103.53622222222222,103.87661538461538,-1
2020-12-30,103.168,103.321,102.996,103.318,49675,True,103.53733333333334,103.83276923076923,-1
2021-01-03,103.12,103.317,102.714,103.126,75269,True,103.51322222222223,103.78857692307693,-1
2021-01-04,103.121,103.192,102.604,102.739,69915,True,103.41211111111112,103.73592307692307,-1
2021-01-05,102.733,103.444,102.593,103.048,98425,True,103.35255555555555,103.68792307692307,-1
2021-01-06,103.053,103.959,102.951,103.812,88511,True,103.36777777777777,103.66765384615385,-1
2021-01-07,103.816,104.094,103.604,103.934,101727,True,103.39488888888889,103.64923076923077,-1
2021-01-10,103.899,104.399,103.89,104.266,67604,True,103.44555555555556,103.66553846153846,-1
