sma_time,open,high,low,close,sma_short,sma_long,signal
2026-04-02 03:00:00,159.425,159.447,159.312,159.368,158.94111111111113,158.73815384615384,1
2026-04-02 04:00:00,159.368,159.438,159.336,159.347,158.99122222222223,158.76211538461536,1
2026-04-02 05:00:00,159.348,159.446,159.34,159.442,159.06366666666665,158.78442307692305,1
2026-04-02 06:00:00,159.442,159.468,159.305,159.388,159.139,158.80757692307694,1
2026-04-02 07:00:00,159.389,159.716,159.373,159.578,159.24655555555557,158.84226923076923,1
2026-04-02 08:00:00,159.578,159.708,159.552,159.68,159.35366666666667,158.89496153846156,1
2026-04-02 09:00:00,159.68,159.726,159.569,159.57,159.45355555555557,158.92534615384616,1
2026-04-02 10:00:00,159.57,159.702,159.546,159.687,159.49811111111111,158.96784615384615,1
2026-04-02 11:00:00,159.686,159.747,159.676,159.706,159.52955555555556,159.00607692307693,1
2026-04-02 12:00:00,159.704,159.711,159.564,159.633,159.559,159.0488076923077,1
2026-04-02 13:00:00,159.632,159.692,159.454,159.47,159.57266666666666,159.09188461538463,1
2026-04-02 14:00:00,159.469,159.507,159.242,159.362,159.56377777777777,159.1238076923077,1
2026-04-02 15:00:00,159.362,159.39,159.232,159.344,159.55888888888887,159.15053846153845,1
2026-04-02 16:00:00,159.344,159.516,159.312,159.512,159.55155555555555,159.18996153846155,1
2026-04-02 17:00:00,159.514,159.616,159.496,159.595,159.54211111111113,159.227,1
2026-04-02 18:00:00,159.594,159.728,159.582,159.636,159.54944444444445,159.26853846153847,1
2026-04-02 19:00:00,159.636,159.68,159.544,159.662,159.54666666666668,159.30515384615384,1
2026-04-02 20:00:00,159.664,159.678,159.557,159.606,159.53555555555556,159.33415384615384,1
2026-04-02 21:00:00,159.597,159.597,159.554,159.567,159.5282222222222,159.35996153846156,1
2026-04-02 22:00:00,159.556,159.603,159.512,159.533,159.53522222222222,159.38853846153845,1
2026-04-02 23:00:00,159.532,159.536,159.486,159.496,159.5501111111111,159.41876923076921,1
2026-04-03 00:00:00,159.496,159.632,159.431,159.598,159.57833333333332,159.45676923076923,1
2026-04-03 01:00:00,159.597,159.652,159.548,159.646,159.5932222222222,159.4925384615385,1
2026-04-03 02:00:00,159.648,159.718,159.614,159.674,159.60199999999998,159.5311153846154,1
2026-04-03 03:00:00,159.674,159.696,159.574,159.582,159.596,159.5425,1
2026-04-03 04:00:00,159.583,159.634,159.538,159.623,159.59166666666667,159.55019230769233,1
2026-04-03 05:00:00,159.624,159.658,159.602,159.65,159.59655555555554,159.5610384615385,1
2026-04-03 06:00:00,159.65,159.694,159.59,159.637,159.60433333333333,159.57219230769232,1
2026-04-03 07:00:00,159.636,159.636,159.547,159.587,159.61033333333333,159.57776923076923,1
2026-04-03 08:00:00,159.588,159.64,159.57,159.609,159.6228888888889,159.58626923076923,1
2026-04-03 09:00:00,159.61,159.621,159.582,159.596,159.62266666666667,159.58696153846157,1
2026-04-03 10:00:00,159.596,159.615,159.566,159.596,159.61711111111111,159.58373076923075,1
2026-04-03 11:00:00,159.596,159.598,159.541,159.56,159.60444444444445,159.58334615384618,1
2026-04-03 12:00:00,159.56,159.824,159.532,159.62,159.60866666666666,159.58076923076925,1
2026-04-03 13:00:00,159.62,159.634,159.487,159.516,159.59677777777776,159.57346153846154,1
2026-04-03 14:00:00,159.516,159.602,159.492,159.598,159.591,159.5721153846154,1
2026-04-03 15:00:00,159.598,159.649,159.566,159.646,159.59199999999998,159.57888461538462,1
2026-04-03 16:00:00,159.646,159.65,159.628,159.636,159.59744444444445,159.58942307692308,1
2026-04-03 17:00:00,159.636,159.652,159.632,159.636,159.60044444444443,159.60065384615385,-1
2026-04-03 18:00:00,159.638,159.672,159.63,159.658,159.60733333333332,159.60626923076921,1
2026-04-03 19:00:00,159.658,159.67,159.634,159.638,159.612,159.60792307692307,1
2026-04-03 20:00:00,159.638,159.719,159.505,159.632,159.62,159.6077692307692,1
